                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      1.2000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_v_rot                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1153                  2.0046884346862029E+002                  2.3020468848809381E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  4.5189103506954087E+000                  3.7468219359806582E-001                  7.8125640905853918E-008                  9.9999999998686839E-001                  9.9999988781049509E-001                  5.7576765516977280E-001                  7.8125640905853918E-008                  9.9999999998686839E-001                  9.9999988781049509E-001                  4.6017881242392065E+000                 -3.0553415415268059E+001                 -9.8999999999999986E+001                  4.6017881242392065E+000                  2.8485304802035012E+000                  4.5940544160138526E+000                 -3.0553415415268059E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0502876596175965E+033                  9.6125907977822270E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3949679232832564E+000                  3.8896643516903819E+000                  6.7815516573130485E-001                  4.1607602679981399E+000                  1.9123739138932503E-006                  3.6646207498937741E+002                  7.5027257123171722E+000                  8.5005668714837712E-001                  1.6514993587439474E+001                  8.5005668714837712E-001                  7.5027257123171722E+000                  6.2034860660664348E-001                  8.4959094425800763E-001                  1.2978594049485446E+000                  6.9918013915997534E-001                  2.8039340314253380E-001                  8.6727586995411833E-004                  9.2976773229293871E-003                  3.4416106108119964E-003                  9.3604466091399743E-003                  8.3953804415307598E+000                  3.3620256094477461E+000                                        0                                        0                                        5 
                                       5                                     1031                  8.0346254859355804E+002                  2.2074750329326553E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  5.6230395894243950E+000                  4.6481337657014593E-001                  7.8125640575192386E-008                  9.9999997702329702E-001                  9.9999992318365227E-001                  6.3905012088000857E-001                  7.8125640575192386E-008                  9.9999997702329702E-001                  9.9999992318365227E-001                  4.5063414198779874E+000                 -3.1179812301448944E+001                 -9.8999999999999986E+001                  4.5063414198779874E+000                  2.8866444474440982E+000                  4.4957889802710822E+000                 -3.1179812301448944E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8161985309282392E+033                  9.4253768840794046E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3950710688756995E+000                  3.9026850136862343E+000                  6.8445920554434347E-001                  4.1481521883720625E+000                  1.0338143468824793E-007                  3.6094374065512727E+002                  7.4927306978451877E+000                  8.1392771211847903E-001                  1.6469385187360743E+001                  8.1392771211847903E-001                  7.4927306978451877E+000                  6.2030476413755142E-001                  8.4963471995217887E-001                  1.2977368900606250E+000                  6.9926704035630949E-001                  2.8033415844101983E-001                  1.0515966463289022E-003                  9.3065817913698667E-003                  3.4416106108119959E-003                  9.3604466091399743E-003                  8.3951427826088540E+000                  3.3620542396331579E+000                                        0                                        0                                        4 
                                      10                                     1018                  1.9521660534623111E+003                  2.4695458606830991E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  5.8758757933021348E+000                  4.8842644426663012E-001                  7.8125638021965448E-008                  9.9999997526719242E-001                  9.9999991703892144E-001                  6.5571891808357008E-001                  7.8125638021965448E-008                  9.9999997526719242E-001                  9.9999991703892144E-001                  4.2684243368676453E+000                 -3.1873200619394549E+001                 -9.8999999999999986E+001                  4.2684243368676453E+000                  2.6481774097912281E+000                  4.2578854148931580E+000                 -3.1873200619394549E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0713989277393854E+033                  8.7869877720837599E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3884662949042772E+000                  3.8910030847950803E+000                  6.9182778904161291E-001                  4.1334150213775240E+000                  4.9456429802185250E-008                  3.5490232720640802E+002                  7.4816244924205257E+000                  7.7715162239990965E-001                  1.6421773853327601E+001                  7.7715162239990965E-001                  7.4816244924205257E+000                  6.2030702930819503E-001                  8.4963357016024421E-001                  1.2977469808623929E+000                  6.9926497006130828E-001                  2.8031939003517276E-001                  9.4818679494097790E-004                  9.3089145291368278E-003                  3.4416106108119951E-003                  9.3604466091399725E-003                  8.3948503767889466E+000                  3.3620894099390188E+000                                        0                                        0                                        3 
                                      15                                     1014                  4.4623473058934296E+003                  2.8428338742420638E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  5.0150106040633533E+000                  4.1705866643609052E-001                  7.8125638021965448E-008                  9.9999997248669348E-001                  9.9999991071158711E-001                  6.0610929838761873E-001                  7.8125638021965448E-008                  9.9999997248669348E-001                  9.9999991071158711E-001                  3.9951848369267520E+000                 -3.2338394152784836E+001                 -9.8999999999999986E+001                  3.9951848369267515E+000                  2.3195001779579218E+000                  3.9859224565612532E+000                 -3.2338394152784836E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2138140118835727E+033                  8.0074748783385350E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3838255038046938E+000                  3.8890530921123272E+000                  7.0013437489940245E-001                  4.1168018496619450E+000                  3.0727714244962058E-008                  3.4856010119519124E+002                  7.4741089887021133E+000                  7.5685627262690225E-001                  1.6393759424532274E+001                  7.5685627262690225E-001                  7.4741089887021133E+000                  6.2033497783915981E-001                  8.4960762828966374E-001                  1.2978314994329085E+000                  6.9921372909614998E-001                  2.8032619892290839E-001                  6.6941193244315477E-004                  9.3080979559193450E-003                  3.4416106108119951E-003                  9.3604466091399725E-003                  8.3945072189661847E+000                  3.3621377557633547E+000                                        0                                        0                                        4 
                                      20                                     1015                  1.0589273193351928E+004                  3.2151754578413332E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.5879481534959736E+000                  2.9869169206579488E-001                  7.8125638016978118E-008                  9.9999997248669348E-001                  9.9999990552844709E-001                  5.1793449573153061E-001                  7.8125638016978118E-008                  9.9999997248669348E-001                  9.9999990552844709E-001                  3.7636553443324550E+000                 -3.1925285544643245E+001                 -9.8999999999999986E+001                  3.7636553443324545E+000                  2.0348638047962186E+000                  3.7554691996746494E+000                 -3.1925285544643245E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4471247460761964E+033                  7.2077111308687194E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3944392299768102E+000                  3.9529230259655699E+000                  7.1084188948179095E-001                  4.0953868204971675E+000                  7.4042689218509257E-009                  3.4182560870535769E+002                  7.4804740695776335E+000                  7.8928744625719405E-001                  1.6431475358850488E+001                  7.8928744625719405E-001                  7.4804740695776335E+000                  6.2038114081456097E-001                  8.4956420620690787E-001                  1.2979688005327643E+000                  6.9912766808453120E-001                  2.8034755017964602E-001                  2.6496967323790096E-004                  9.3053153427881952E-003                  3.4416106108119951E-003                  9.3604466091399725E-003                  8.3940416780928278E+000                  3.3622514077831864E+000                                        0                                        0                                        4 
                                      25                                     1012                  1.8561645395029976E+004                  3.1209795278784691E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  2.9627890261757708E+000                  2.4635873890671584E-001                  7.8125637794933513E-008                  9.9999997870623070E-001                  9.9999991505626395E-001                  4.5773758680864723E-001                  7.8125637794933513E-008                  9.9999997870623070E-001                  9.9999991505626395E-001                  3.7674630657679886E+000                 -3.0545284377194601E+001                 -1.1439139835231284E+001                  3.7674630657679886E+000                  1.8298752551360231E+000                  3.7624197551675258E+000                 -3.0545284377194601E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3989649148730728E+033                  7.0819125829857820E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4126067774591071E+000                  4.0093564493575391E+000                  7.0272350621318225E-001                  4.1116235870343854E+000                 -1.7539213484058813E-008                  3.5116183224778865E+002                  7.5025321815864423E+000                  8.6602247784570774E-001                  1.6529425064966915E+001                  8.6602247784570774E-001                  7.5025321815864423E+000                  6.2043172943221025E-001                  8.4951364871356783E-001                  1.2981095459043757E+000                  6.9902707574590872E-001                  2.8041787778311383E-001                  6.6462467474713780E-005                  9.2953005030623585E-003                  3.4416106108119951E-003                  9.3604466091399725E-003                  8.3935875419674524E+000                  3.3625650328877703E+000                                        0                                        0                                        3 
                                      30                                     1023                  2.4917126631469666E+004                  3.1441877126433955E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.4760215332761777E+000                  2.8814109013798572E-001                  7.8125637739422362E-008                  9.9999998024282222E-001                  9.9999992388974690E-001                  5.0733995044846614E-001                  7.8125637739422362E-008                  9.9999998024282222E-001                  9.9999992388974690E-001                  3.9343298569996992E+000                 -2.9892612374279199E+001                 -1.1439139835231284E+001                  3.9343298569996992E+000                  1.7408037057849963E+000                  3.9315395462741165E+000                 -2.9892612374279199E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8926692817888332E+033                  7.5443070452924086E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4186775326619232E+000                  4.0102652745018101E+000                  6.9103640837968394E-001                  4.1349977827013822E+000                 -1.6920997682821739E-008                  3.6234819833652665E+002                  7.5132259665946499E+000                  8.9404204715397395E-001                  1.6568429383432303E+001                  8.9404204715397395E-001                  7.5132259665946499E+000                  6.2047585096997482E-001                  8.4946759538695982E-001                  1.2982256304296484E+000                  6.9893507402016064E-001                  2.8051077191914342E-001                  5.9386495841947257E-005                  9.2812448898471310E-003                  3.4416106108119951E-003                  9.3604466091399725E-003                  8.3930953263886448E+000                  3.3630508611736030E+000                                        0                                        0                                        3 
                                      35                                     1024                  3.5889696682227615E+004                  3.4806698978055892E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  3.9797248026302308E+000                  3.2921234079456946E-001                  7.8125637794933513E-008                  9.9999998126721656E-001                  9.9999992948359839E-001                  5.3992246432408830E-001                  7.8125637794933513E-008                  9.9999998126721656E-001                  9.9999992948359839E-001                  3.9788843804178011E+000                 -2.9741139375245702E+001                 -1.1439139835231284E+001                  3.9788843804178011E+000                  1.6733407884016138E+000                  3.9767300245101964E+000                 -2.9741139375245702E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0652536026959838E+033                  7.7708698245098500E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4170651526561207E+000                  3.9812575975929256E+000                  6.7975732993684779E-001                  4.1575559395870547E+000                 -5.4894241622685269E-009                  3.7284185580345149E+002                  7.5158366859720340E+000                  8.9472438459675030E-001                  1.6572226459291262E+001                  8.9472438459675030E-001                  7.5158366859720340E+000                  6.2055848173265749E-001                  8.4938128086160403E-001                  1.2984424386266091E+000                  6.9876247491524834E-001                  2.8068681485895824E-001                  5.9217077039503424E-005                  9.2541869794896571E-003                  3.4416106108119951E-003                  9.3604466091399725E-003                  8.3920349765076487E+000                  3.3641034619375469E+000                                        0                                        0                                        3 
                                      40                                     1023                  6.2899253986965377E+004                  3.8765761280437134E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  4.0257994286243592E+000                  3.3239419531889286E-001                  7.8125637794933513E-008                  9.9999998126721656E-001                  9.9999993071135018E-001                  5.4309415686332529E-001                  7.8125637794933513E-008                  9.9999998126721656E-001                  9.9999993071135018E-001                  3.9717696535637774E+000                 -2.9754266162020087E+001                 -9.8999999999999986E+001                  3.9717696535637774E+000                  1.5973976841388808E+000                  3.9699317150135460E+000                 -2.9754266162020087E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0426745416498263E+033                  7.7606694466023532E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4154703599624812E+000                  3.9705933696805094E+000                  6.7761480136791774E-001                  4.1618409967249139E+000                  1.1002190066966876E-010                  3.7596407018079759E+002                  7.5156200546190508E+000                  8.9261330983222364E-001                  1.6569875426959392E+001                  8.9261330983222364E-001                  7.5156200546190508E+000                  6.2077311739478036E-001                  8.4915726905007427E-001                  1.2990056447484639E+000                  6.9831446950071285E-001                  2.8114325643038801E-001                  5.7722185242220774E-005                  9.1851415397881820E-003                  3.4416106108119951E-003                  9.3604466091399725E-003                  8.3894322916357602E+000                  3.3667380333079735E+000                                        0                                        0                                        3 
