                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     947                                      984                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.1352217135720875E+010                  8.7165925872105006E+006                  5.3569071501356530E+003                  2.1198867996207760E+000                  1.6927270481696479E+000                  2.5902966661560929E+000                  6.9739260993122994E-036                  0.0000000000000000E+000                  9.8010523324766319E-001                  5.4447942603865630E-005                  9.6481708396317246E-003                  4.0023637368898140E-003                  2.0994599496976661E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  5.6892050363730651E-001                  9.9259671289827611E-004                  4.0998151904426472E-001                  2.2824830607764304E-003                  2.9751252582091046E-003                  8.6579880533331037E-003                  2.0994599496976483E-003                  1.0027499615387778E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999941505768E-001                  1.6921276288148150E+000                  9.9999999904174541E-001                  1.6918351732421903E+000                  2.2050273079422677E+004                  6.5415389940960864E+006                  4.7172330153614283E+009                  2.1302703149501716E+000                  2.1302703149501712E+000                  1.0085702959209408E-032                  1.2495239304973597E-001                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.5825497102001427E+017 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.0000000000000000E+000                  2.2858693387347997E-001                  3.7289546027849498E+000                 -6.9699248460048642E+000                  4.5633636041877628E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       2                  9.9999999999949996E-001                  2.2858673771957294E-001                  3.7290862131603806E+000                 -6.9690058041900844E+000                  4.5644144427974096E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002 
                                       3                  9.9999999999837497E-001                  2.2858629730529262E-001                  3.7293296104257494E+000                 -6.9673161908247634E+000                  4.5663478054232494E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002 
                                       4                  9.9999999999650002E-001                  2.2858556612868866E-001                  3.7296856029750889E+000                 -6.9648685480024906E+000                  4.5691519724973357E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       5                  9.9999999999400013E-001                  2.2858459669985884E-001                  3.7302981200556022E+000                 -6.9607165652541942E+000                  4.5739174314378390E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                       6                  9.9999999998899991E-001                  2.2858267627075629E-001                  3.7317375541180722E+000                 -6.9512381084921353E+000                  4.5848377932121860E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002 
                                       7                  9.9999999997650002E-001                  2.2857797873864230E-001                  3.7343562985855279E+000                 -6.9350185605458048E+000                  4.6036813637686977E+000                  6.9999999255780021E-001                  2.8000000744219994E-001                  1.9999999999999796E-002 
                                       8                  9.9999999995775002E-001                  2.2857119047505667E-001                  3.7367801883584488E+000                 -6.9211595431026760E+000                  4.6199696556076670E+000                  6.9999998497720495E-001                  2.8000001502279520E-001                  1.9999999999999796E-002 
                                       9                  9.9999999994837496E-001                  2.2856790283095196E-001                  3.7389595549921282E+000                 -6.9093603430905199E+000                  4.6339528730154802E+000                  6.9999998409024788E-001                  2.8000001590975226E-001                  1.9999999999999796E-002 
